ID,lon,lat
ams1,4.670664,52.305896
ams2,4.67494,52.302044
ams3,4.677275,52.308427
ams4,4.67755369999998,52.3460125
ams5,4.67859279999993,52.3185718
ams6,4.678602,52.29778
ams7,4.678811,52.296925
ams8,4.69142360000001,52.2934974
ams9,4.69311403131337,52.294195714916
ams10,4.69746144488886,52.2504943097497
ams11,4.70325708389282,52.2481139622996
ams12,4.71668362771629,52.2669308547605
ams13,4.721024,52.260747
ams14,4.72663839510744,52.3831847356269
ams15,4.7294838,52.2609028
ams16,4.74436979999996,52.3795406
ams17,4.74641020370484,52.3742244997566
ams18,4.750101,52.385828
ams19,4.756874,52.351625
ams20,4.76169092254077,52.2762787136909
ams21,4.76310423353812,52.2558220756797
ams22,4.77926731109619,52.432086373993
ams23,4.78131,52.34437
ams24,4.783426,52.279142
ams25,4.789773,52.36049
ams26,4.795101,52.277776
ams27,4.80228757858276,52.379348687307
ams28,4.80535910000003,52.3554281
ams29,4.80548646315992,52.4335869710689
ams30,4.80853,52.355287
ams31,4.80870933272399,52.3527324479561
ams32,4.80966950000004,52.3456794
ams33,4.815386,52.355926
ams34,4.81591775567836,52.2783515167351
ams35,4.8180521451111,52.27971490554
ams36,4.820963,52.283123
ams37,4.823946,52.436889
ams38,4.830253,52.431829
ams39,4.831394,52.28069
ams40,4.83821809999995,52.2926813
ams41,4.84073309999997,52.3876584
ams42,4.84121,52.36617
ams43,4.84439329999998,52.3155607
ams44,4.84575289999998,52.3561545
ams45,4.846606,52.353684
ams46,4.847222292418,52.356758365539
ams47,4.8525221363775,52.3447380821731
ams48,4.852834,52.344777
ams49,4.857523,52.324336
ams50,4.861786,52.311689
ams51,4.86189723862299,52.3743658044093
ams52,4.86446290000004,52.3267374
ams53,4.866243,52.311614
ams54,4.866419,52.368619
ams55,4.868215,52.365304
ams56,4.87008700000001,52.3114207
ams57,4.87241960000006,52.3360639
ams58,4.87465899154051,52.3669443081387
ams59,4.876575,52.345668
ams60,4.877924,52.361872
ams61,4.87794069999995,52.3774156
ams62,4.87898889999997,52.3544442
ams63,4.8805104358014,52.376598784891
ams64,4.88236410756826,52.3065643317852
ams65,4.885412,52.347122
ams66,4.885653,52.347146
ams67,4.886345,52.364318
ams68,4.887069,52.420592
ams69,4.89068320000001,52.3922401
ams70,4.89147718039544,52.3712637780169
ams71,4.89189620000002,52.384832
ams72,4.89307989999998,52.2956804
ams73,4.89511590000006,52.3383171
ams74,4.89516789999993,52.3702157
ams75,4.896876,52.304167
ams76,4.89703899999995,52.3477135
ams77,4.89704419999998,52.3474113
ams78,4.89851619487149,52.3573648188524
ams79,4.89944614717137,52.4224859490619
ams80,4.8997121,52.3630175
ams81,4.899845,52.296284
ams82,4.900383,52.430344
ams83,4.90048093732912,52.3758638438139
ams84,4.900914,52.385221
ams85,4.90278911590576,52.4034657327205
ams86,4.903877,52.352911
ams87,4.905173,52.313202
ams88,4.90589569999997,52.4287962
ams89,4.906561,52.291897
ams90,4.90671,52.291065
ams91,4.90720820000001,52.3438503
ams92,4.90941299999997,52.2958859
ams93,4.90966000000003,52.342303
ams94,4.911188,52.370533
ams95,4.91129446279356,52.291066664138
ams96,4.91649740000003,52.38675
ams97,4.91687,52.389641
ams98,4.91849310926205,52.2994221595348
ams99,4.919527,52.356894
ams100,4.91977999999995,52.42842
ams101,4.92380800000001,52.349484
ams102,4.92543971538544,52.3791992832801
ams103,4.925732,52.360095
ams104,4.92613967329407,52.3551554369902
ams105,4.928533,52.37839
ams106,4.928972,52.36428
ams107,4.92969803372955,52.3922440878944
ams108,4.94700999999998,52.40145
ams109,4.95428010000001,52.3182354
ams110,4.95708000000002,52.3340836
ams111,4.95919931415551,52.334241885171
ams112,4.95946460000005,52.3416245
ams113,4.96209728216468,52.3370572342426
ams114,4.96230016245727,52.336363888789
ams115,4.96429,52.337291
ams116,4.964432,52.271513
ams117,4.96510680000006,52.3819577
ams118,4.966738,52.269474
ams119,4.969634,52.334801
ams120,4.97124699999995,52.353509
ams121,4.97133199999996,52.300295
ams122,4.97137950000001,52.2996697
ams123,4.974268,52.32541
ams124,4.97452144783165,52.2678217569434
ams125,4.978757,52.326555
ams126,4.97953569284925,52.3605780346652
ams127,4.994072,52.247674
ams128,4.996017,52.427009
ams129,5.028072,52.262895
ams130,5.03076,52.313112
ams131,5.032035,52.30725
ams132,5.0356554,52.4314243
ams133,5.041156,52.301688
ams134,5.04501989999994,52.2634545
