,x_vals,y_vals,lon,lat
0,356.5,-4055.5,5.023690105310461,52.302901655185444
1,348.5,-4045.5,4.9235953375720936,52.3948605045538
2,344.5,-4037.5,4.876954369708124,52.466629314896814
3,352.5,-4047.5,4.977376296645432,52.374682219339675
4,345.5,-4051.5,4.87422292861103,52.34547553221616
5,344.5,-4047.5,4.864962970952955,52.380605685994595
6,353.5,-4040.5,5.000028919631021,52.434130750517674
7,343.5,-4061.5,4.834266934553643,52.26096957618494
8,335.5,-4057.5,4.726827852901006,52.30110675164969
9,348.5,-4041.5,4.928444385313566,52.429264836528944
10,352.5,-4035.5,4.992102386617106,52.4778944840177
11,345.5,-4055.5,4.869438537440657,52.31108501603947
12,334.5,-4040.5,4.7325412716813675,52.44804757568462
13,352.5,-4042.5,4.983501622773201,52.417680163560455
14,335.5,-4053.5,4.73147112728316,52.33550248116327
15,340.5,-4043.5,4.813476840692672,52.41792483261374
16,349.5,-4039.5,4.944951272933233,52.44572622356927
17,345.5,-4060.5,4.863471208697401,52.268106124842376
18,351.5,-4047.5,4.963326713766606,52.37543002253633
19,332.5,-4046.5,4.697428211596731,52.397841145920246
